Ant-algorithm log
2020-03-29T08:46:20 trace:x:0y:0=000000
2020-03-29T08:46:20 trace:x:0y:1=000001
2020-03-29T08:46:20 trace:x:0y:2=000002
2020-03-29T08:46:20 trace:x:0y:3=000003
2020-03-29T08:46:20 trace:x:0y:4=000004
2020-03-29T08:46:20 trace:x:0y:5=000005
2020-03-29T08:46:20 trace:x:1y:0=001000
2020-03-29T08:46:20 trace:x:1y:1=001001
2020-03-29T08:46:20 trace:x:1y:2=001002
2020-03-29T08:46:20 trace:x:1y:3=001003
2020-03-29T08:46:20 trace:x:1y:4=001004
2020-03-29T08:46:20 trace:x:1y:5=001005
2020-03-29T08:46:20 trace:x:2y:0=002000
2020-03-29T08:46:20 trace:x:2y:1=002001
2020-03-29T08:46:20 trace:x:2y:2=002002
2020-03-29T08:46:20 trace:x:2y:3=002003
2020-03-29T08:46:20 trace:x:2y:4=002004
2020-03-29T08:46:20 trace:x:2y:5=002005
2020-03-29T08:46:20 trace:x:3y:0=003000
2020-03-29T08:46:20 trace:x:3y:1=003001
2020-03-29T08:46:20 trace:x:3y:2=003002
2020-03-29T08:46:20 trace:x:3y:3=003003
2020-03-29T08:46:20 trace:x:3y:4=003004
2020-03-29T08:46:20 trace:x:3y:5=003005
2020-03-29T08:46:20 trace:x:4y:0=004000
2020-03-29T08:46:20 trace:x:4y:1=004001
2020-03-29T08:46:20 trace:x:4y:2=004002
2020-03-29T08:46:20 trace:x:4y:3=004003
2020-03-29T08:46:20 trace:x:4y:4=004004
2020-03-29T08:46:20 trace:x:4y:5=004005
2020-03-29T08:46:20 trace:x:5y:0=005000
2020-03-29T08:46:20 trace:x:5y:1=005001
2020-03-29T08:46:20 trace:x:5y:2=005002
2020-03-29T08:46:20 trace:x:5y:3=005003
2020-03-29T08:46:20 trace:x:5y:4=005004
2020-03-29T08:46:20 trace:x:5y:5=005005
2020-03-29T08:46:20 trace:{0: {'pos': '001001', 'status': 'search', 'pheromones': 200}, 1: {'pos': '001001', 'status': 'search', 'pheromones': 200}, 2: {'pos': '001001', 'status': 'search', 'pheromones': 200}, 3: {'pos': '001001', 'status': 'search', 'pheromones': 200}, 4: {'pos': '001001', 'status': 'search', 'pheromones': 200}, 5: {'pos': '001001', 'status': 'search', 'pheromones': 200}, 6: {'pos': '001001', 'status': 'search', 'pheromones': 200}, 7: {'pos': '001001', 'status': 'search', 'pheromones': 200}, 8: {'pos': '001001', 'status': 'search', 'pheromones': 200}, 9: {'pos': '001001', 'status': 'search', 'pheromones': 200}}
2020-03-29T08:46:20 trace:x:1y:1=001001
2020-03-29T08:46:20 trace:x:999y:999=999999
2020-03-29T08:46:20 trace:x:0y:0=000000
2020-03-29T08:46:20 trace:x:0y:1=000001
2020-03-29T08:46:20 trace:x:0y:2=000002
2020-03-29T08:46:20 trace:x:0y:3=000003
2020-03-29T08:46:20 trace:x:0y:4=000004
2020-03-29T08:46:20 trace:x:0y:5=000005
2020-03-29T08:46:20 trace:x:1y:0=001000
2020-03-29T08:46:20 trace:x:1y:1=001001
2020-03-29T08:46:20 trace:x:1y:2=001002
2020-03-29T08:46:20 trace:x:1y:3=001003
2020-03-29T08:46:20 trace:x:1y:4=001004
2020-03-29T08:46:20 trace:x:1y:5=001005
2020-03-29T08:46:20 trace:x:2y:0=002000
2020-03-29T08:46:20 trace:x:2y:1=002001
2020-03-29T08:46:20 trace:x:2y:2=002002
2020-03-29T08:46:20 trace:x:2y:3=002003
2020-03-29T08:46:20 trace:x:2y:4=002004
2020-03-29T08:46:20 trace:x:2y:5=002005
2020-03-29T08:46:20 trace:x:3y:0=003000
2020-03-29T08:46:20 trace:x:3y:1=003001
2020-03-29T08:46:20 trace:x:3y:2=003002
2020-03-29T08:46:20 trace:x:3y:3=003003
2020-03-29T08:46:20 trace:x:3y:4=003004
2020-03-29T08:46:20 trace:x:3y:5=003005
2020-03-29T08:46:20 trace:x:4y:0=004000
2020-03-29T08:46:20 trace:x:4y:1=004001
2020-03-29T08:46:20 trace:x:4y:2=004002
2020-03-29T08:46:20 trace:x:4y:3=004003
2020-03-29T08:46:20 trace:x:4y:4=004004
2020-03-29T08:46:20 trace:x:4y:5=004005
2020-03-29T08:46:20 trace:x:5y:0=005000
2020-03-29T08:46:20 trace:x:5y:1=005001
2020-03-29T08:46:20 trace:x:5y:2=005002
2020-03-29T08:46:20 trace:x:5y:3=005003
2020-03-29T08:46:20 trace:x:5y:4=005004
2020-03-29T08:46:20 trace:x:5y:5=005005
2020-03-29T08:46:20 trace:x:0y:0=000000
